"WT1","WT2","WT3","NEG1","NEG2","NEG3","pos","Potential.contaminant","Reverse","ids"
0,3916100,0,0,0,1843800,FALSE,"","","P1589732"
2821400,6521600,4640400,4492800,4687400,2572700,FALSE,"","","P9840763"
0,673150,0,0,0,0,FALSE,"","","P0254986"
777360,0,0,0,0,0,FALSE,"","","P7209641"
3523100,437460,0,5082000,2070100,11491000,FALSE,"","","P5286374"
14985000,44471000,49881000,64253000,48106000,78652000,FALSE,"","","P6059421"
0,5766300,4205300,0,1438500,1725800,FALSE,"","","P7419832"
9128700,646730,745050,18172000,1133100,0,FALSE,"","","P6218905"
2748200,2282200,0,2472800,0,0,FALSE,"","","P6480239"
5721300,1333100,0,1016800,0,0,FALSE,"","","P1583694"
1686800,0,0,1164900,0,0,FALSE,"","","P2054691"
4830000,2710000,0,2860400,3686900,0,FALSE,"","","P6805712"
0,661350,0,0,734390,15292000,FALSE,"","","P2751486"
5680400,11943000,2392400,16577000,4095200,0,FALSE,"","","P7412098"
1023300,0,0,1063800,0,0,FALSE,"","","P6297051"
24686000,39427000,26864000,33848000,28207000,39308000,FALSE,"","","P7961380"
0,4402800,2313100,16546000,4847900,4939300,FALSE,"","","P9352481"
0,0,0,985240,0,0,FALSE,"","","P9058467"
3176200,7846600,6502400,2306100,0,0,FALSE,"","","P1895062"
7908400,3025600,882410,8754300,4446900,2912900,FALSE,"","","P5276138"
0,0,670470,15768000,5670900,35982000,FALSE,"","","P1237908"
0,6358200,4159700,0,4289500,3849500,FALSE,"","","P8253714"
5102300,2283800,0,0,0,3614100,FALSE,"","","P8369425"
0,0,0,0,0,709090,FALSE,"","","P7239084"
0,698890,0,0,682050,0,FALSE,"","","P5968302"
11745000,7807400,8417600,55086000,39535000,34837000,FALSE,"","","P1064735"
43818000,11355000,14010000,35514000,9551600,18424000,FALSE,"","","P3619502"
9000900,1621700,0,4644100,878950,0,FALSE,"","","P8073159"
12717000,1501400,1096300,8188600,3677500,29171000,FALSE,"","","P2367591"
720350,0,0,0,315440,0,FALSE,"","","P4025691"
37393000,0,938810,35756000,0,5912100,FALSE,"","","P5293861"
14875000,0,0,0,0,0,FALSE,"","","P2591736"
0,2440900,0,0,0,0,FALSE,"","","P5897304"
3773700,550340,0,6137000,0,0,FALSE,"","","P7136984"
786690,0,0,0,0,0,FALSE,"","","P5247698"
8044200,1233600,1525200,13557000,0,2062800,FALSE,"","","P5768394"
6053300000,2153400000,3186200000,4577900000,4621100000,5399300000,FALSE,"+","","P8765940"
920390,0,0,0,0,0,FALSE,"","","P4597316"
247900000,260140000,441090000,630150000,223620000,246020000,FALSE,"","","P7150264"
4.71e+08,496760000,625440000,40952000,26648000,35234000,TRUE,"","","P2936078"
1390200,3410800,2550900,2756300,3949200,7955500,FALSE,"","","P2987403"
